DSNY Zone,Site type,Paper Bins,MGP Bins
BKN,CITY AGENCY,1,1
BKN,CITY AGENCY,1,1
BKN,CITY AGENCY,1,1
BKN,CITY AGENCY,1,1
BKN,SPORTS ARENA,1,1
BKN,SPORTS ARENA,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,PARK,1,1
BKN,PARK,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,PARK,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,PARK,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,BID,1,1
BKN,PARK,1,1
BKN,BID,1,1
BKN,CITY AGENCY,2,2
BKN,PARK,2,2
BKN,BID,2,2
BKN,BID,2,2
BKN,BID,2,2
BKN,PARK,2,2
BKN,NON-PROFIT,4,4
BKN,ZOO,6,6
BKS,DISTRICT,9,9
BX,PARK,1,1
BX,PARK,3,3
BX,PARK,7,8
BX,DISTRICT,1,1
BX,NON-PROFIT,3,3
BX,ZOO,24,24
BX,ZOO,36,36
BX,ZOO,46,46
BX,NON-PROFIT,1,1
BX,SCHOOL,1,1
BX,PARK,2,2
BX,SCHOOL,24,24
BX,PARK,1,1
BX,PARK,1,1
BX,PARK,1,1
BX,PARK,1,1
MAN,CITY AGENCY,1,1
MAN,CITY AGENCY,6,6
MAN,PARK,40,40
MAN,PARK,0,1
MAN,PARK,0,1
MAN,PARK,0,1
MAN,PARK,0,1
MAN,PARK,0,1
MAN,PARK,0,3
MAN,PARK,0,24
MAN,PARK,0,1
MAN,PARK,0,1
MAN,PARK,0,1
MAN,PARK,1,1
MAN,PARK,1,1
MAN,PARK,1,1
MAN,PARK,1,1
MAN,PARK,1,1
MAN,PARK,6,6
MAN,PARK,12,12
MAN,PARK,42,42
MAN,PARK,1,1
MAN,PARK,2,2
MAN,PARK,4,4
QE,NON-PROFIT,10,10
QE,SCHOOL,1,1
QE,SCHOOL,1,1
QE,SCHOOL,1,1
QE,PARK,1,1
QE,PARK,1,1
QE,PARK,1,1
QE,PARK,1,1
QE,PARK,2,2
QE,PARK,1,0
QE,PARK,1,0
QE,PARK,1,1
QE,PARK,1,1
QE,PARK,1,1
QW,PARK,1,1
QW,PARK,1,1
QW,PARK,1,1
QW,PARK,1,1
QW,PARK,1,1
QW,ZOO,5,5
QW,PARK,7,7
QW,PARK,1,1
SI,PARK,1,1
SI,PARK,1,1
SI,PARK,1,1
SI,PARK,1,1
SI,PARK,1,1
SI,PARK,1,1
SI,PARK,2,2
SI,NON-PROFIT,4,4
SI,PARK,1,1
SI,DISTRICT,1,1
SI,DISTRICT,1,1
SI,PARK,1,1
SI,PARK,1,1
SI,PARK,1,1
SI,PARK,2,2
SI,PARK,5,6
SI,PARK,8,8
SI,SCHOOL,10,10
SI,PARK,1,1
SI,PARK,1,1
SI,PARK,5,5